CLAVE_CLIENTE,UNIDAD_NEGOCIO,EMISORA_FONDO,CATEGORIA_OP,DESC_CE_FINANCIERO,SALDO_CONTRATO,SALDO_CLIENTE,DESC_TIPO_PERS,STATUS_BE
90217522,CASA DE BOLSA,MSFT      ,CAPITALES,CD MX ALTAVISTA,2678496.11,2678496.11,PERSONA FISICA,#N/A
90128844,CASA DE BOLSA,FLOT      ,CAPITALES,CD MX MONTES URALES (CORPORATIVO),2083378.35,2187096.45,PERSONA FISICA,#N/A
94816907,CASA DE BOLSA,WALMEX    ,CAPITALES,MOR CUERNAVACA DOMINGO DIEZ,484518.46,484518.46,PERSONA FISICA,#N/A
96067236,CASA DE BOLSA,SPXL      ,CAPITALES,,0,0,,#N/A
96182720,CASA DE BOLSA,AAPL      ,CAPITALES,,0,0,,#N/A
96046818,BURSANET,IENOVA    ,CAPITALES,SIN CENTRO FINANCIERO,15275.79,960914.14,PERSONA FISICA,ENROLADO
95768081,BURSANET,TSLA      ,CAPITALES,CD MX CORPORATIVO,83345.31,83345.31,PERSONA FISICA,ENROLADO
90225863,BURSANET,GFAMSA    ,CAPITALES,NL SAN PEDRO VALLE,3259555.77,3259555.77,PERSONA FISICA,ENROLADO
90072778,BURSANET,AXTEL     ,CAPITALES,NL SAN PEDRO VALLE,487470.49,487470.49,PERSONA FISICA,ENROLADO
95688586,BURSANET,MU        ,CAPITALES,CD MX PATIO UNIVERSIDAD,102127.74,104373.79,PERSONA FISICA,ENROLADO
94722568,BURSANET,LIVEPOL   ,CAPITALES,SIN CENTRO FINANCIERO,75018.69,75562.25,PERSONA FISICA,ENROLADO
95659512,BURSANET,SPY       ,CAPITALES,CD MX MONTES URALES,63707.93,63707.93,PERSONA FISICA,ENROLADO
90162587,BURSANET,DIS       ,CAPITALES,CHIH CD JUAREZ PLAZA ODORE,113047.96,113047.96,PERSONA FISICA,ENROLADO
95917597,BURSANET,BABA      ,CAPITALES,SIN CENTRO FINANCIERO,133817.03,133817.03,PERSONA FISICA,ENROLADO
96123013,BURSANET,GE        ,CAPITALES,SIN CENTRO FINANCIERO,12430.24,12430.24,PERSONA FISICA,ENROLADO
90031378,BURSANET,AMD       ,CAPITALES,SIN CENTRO FINANCIERO,101009.48,101009.48,PERSONA FISICA,ENROLADO
95847802,BURSANET,SPXS      ,CAPITALES,CD MX CORPORATIVO,88005.16,88005.16,PERSONA FISICA,ENROLADO
90198334,BURSANET,ALSEA     ,CAPITALES,SIN CENTRO FINANCIERO,17650.01,17650.01,PERSONA FISICA,ENROLADO
96091467,BURSANET,DLRTRAC   ,CAPITALES,SIN CENTRO FINANCIERO,19880.92,19880.92,PERSONA FISICA,ENROLADO
96036934,BURSANET,DLRTRAC   ,CAPITALES,SIN CENTRO FINANCIERO,95125.26,95125.26,PERSONA FISICA,ENROLADO
96093315,BURSANET,DLRTRAC   ,CAPITALES,SIN CENTRO FINANCIERO,200193.03,200193.03,PERSONA FISICA,ENROLADO
96099643,BURSANET,DLRTRAC   ,CAPITALES,SIN CENTRO FINANCIERO,498465.42,498465.42,PERSONA FISICA,ENROLADO
95167714,BURSANET,MU        ,CAPITALES,SIN CENTRO FINANCIERO,1096873.33,1096873.33,PERSONA FISICA,ENROLADO
90214859,BURSANET,AAPL      ,CAPITALES,SIN CENTRO FINANCIERO,7572025.64,7572025.64,PERSONA FISICA,ENROLADO
90190117,BURSANET,NFLX      ,CAPITALES,SIN CENTRO FINANCIERO,1688816.36,1688816.36,PERSONA FISICA,ENROLADO
90205386,BURSANET,AAPL      ,CAPITALES,SIN CENTRO FINANCIERO,5934176.03,5934176.03,PERSONA FISICA,ENROLADO
94958006,BURSANET,VOLAR     ,CAPITALES,NL SAN PEDRO VALLE,8431968.14,8540558.41,PERSONA FISICA,ENROLADO
90172370,BURSANET,ALFA      ,CAPITALES,SIN CENTRO FINANCIERO,197502.51,197502.51,PERSONA FISICA,ENROLADO
90205774,BURSANET,GMEXICO   ,CAPITALES,SIN CENTRO FINANCIERO,982960.22,982960.22,PERSONA FISICA,ENROLADO
90189895,BURSANET,ALFA      ,CAPITALES,CHIH CHIH AV DE LA JUVENTUD,873065.08,873065.08,PERSONA FISICA,ENROLADO
90194705,BURSANET,URBI      ,CAPITALES,CD MX ALTAVISTA,254600.09,254600.09,PERSONA FISICA,ENROLADO
92590546,BURSANET,AZTECA    ,CAPITALES,CD MX CORPORATIVO,187212.98,187241.43,PERSONA FISICA,ENROLADO
95841029,BURSANET,DLRTRAC   ,CAPITALES,CD MX MONTES URALES,102558.15,102558.15,PERSONA FISICA,ENROLADO
95579561,BURSANET,MCHI      ,CAPITALES,CD MX CORPORATIVO,26205.26,26205.26,PERSONA FISICA,ENROLADO
90215955,BURSANET,HOMEX     ,CAPITALES,SIN CENTRO FINANCIERO,13221.23,13221.23,PERSONA FISICA,ENROLADO
90151028,BURSANET,ALPEK     ,CAPITALES,QRO QUERETARO BERNARDO QUINTANA,16653420.78,16653420.78,PERSONA FISICA,ENROLADO
96085949,BURSANET,TSLA      ,CAPITALES,SIN CENTRO FINANCIERO,595154.33,595154.33,PERSONA FISICA,ENROLADO
90130287,BURSANET,ALFA      ,CAPITALES,SIN CENTRO FINANCIERO,355222.62,355222.62,PERSONA FISICA,ENROLADO
92864826,BURSANET,LIVEPOL   ,CAPITALES,SIN CENTRO FINANCIERO,29127.75,29178.56,PERSONA FISICA,ENROLADO
90216482,BURSANET,TSLA      ,CAPITALES,SIN CENTRO FINANCIERO,663060.6,663060.6,PERSONA FISICA,ENROLADO
95546230,BURSANET,IVVPESO   ,CAPITALES,CD MX CORPORATIVO,57251.56,57251.56,PERSONA FISICA,ENROLADO
93550549,BURSANET,R         ,CAPITALES,SIN CENTRO FINANCIERO,2141.95,99580.41,PERSONA FISICA,ENROLADO
95082749,BURSANET,CEMEX     ,CAPITALES,CD MX CORPORATIVO,101349.58,101349.58,PERSONA FISICA,ENROLADO
95458287,BURSANET,AMX       ,CAPITALES,CD MX CORPORATIVO,511.83,511.83,PERSONA FISICA,ENROLADO
95983920,BURSANET,ORBIA     ,CAPITALES,SIN CENTRO FINANCIERO,311193.49,311193.49,PERSONA FISICA,ENROLADO
96099528,BURSANET,LACOMER   ,CAPITALES,SIN CENTRO FINANCIERO,2000000,2000000,PERSONA FISICA,ENROLADO
95767414,BURSANET,SPORT     ,CAPITALES,SIN CENTRO FINANCIERO,76902.3,76902.3,PERSONA FISICA,ENROLADO
95565446,BURSANET,BIMBO     ,CAPITALES,GTO LEON CERRO GORDO CB,128508.35,128508.35,PERSONA FISICA,ENROLADO
96091327,BURSANET,FB        ,CAPITALES,SIN CENTRO FINANCIERO,269039.83,269039.83,PERSONA FISICA,ENROLADO
93851293,BURSANET,IENOVA    ,CAPITALES,CD MX CORPORATIVO,205436.2,365297.29,PERSONA FISICA,ENROLADO
93744175,BURSANET,MAXIMO    ,CAPITALES,SIN CENTRO FINANCIERO,7851.98,7852.95,PERSONA FISICA,ENROLADO
95973780,BURSANET,CEMEX     ,CAPITALES,SIN CENTRO FINANCIERO,353475.37,354110.53,PERSONA FISICA,ENROLADO
90054321,BURSANET,CEMEX     ,CAPITALES,SIN CENTRO FINANCIERO,389648.35,389648.35,PERSONA FISICA,ENROLADO
93628113,BURSANET,ALSEA     ,CAPITALES,CD MX CORPORATIVO,151172.49,151173.3,PERSONA FISICA,ENROLADO
90215336,BURSANET,TWTR      ,CAPITALES,SIN CENTRO FINANCIERO,199839.8,199839.8,PERSONA FISICA,ENROLADO
95944989,BURSANET,AAPL      ,CAPITALES,SIN CENTRO FINANCIERO,27372.22,27372.22,PERSONA FISICA,ENROLADO
94833225,BURSANET,GFNORTE   ,CAPITALES,CD MX SANTA FE BANCO PB,350883.2,642465.21,PERSONA FISICA,ENROLADO
90001264,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,250,375.01,PERSONA FISICA,#N/A
96151501,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,10716.2,10716.2,PERSONA FISICA,#N/A
93577575,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX SANTA FE BANCO PB,2122459.82,4922863.66,PERSONA FISICA,#N/A
94812633,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX SANTA FE GLEZ CAMARENA,6618.2,6618.2,PERSONA FISICA,#N/A
93628469,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN MARIANO OTERO,153961.02,153961.02,PERSONA FISICA,#N/A
93753242,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN PLAZA PATRIA,538852.58,538852.58,PERSONA FISICA,#N/A
90772609,BANCO,CUENTA_EJE,CUENTA_EJE,SON HERMOSILLO PLAZA ANDENES,669551.14,669551.14,PERSONA MORAL,#N/A
93932283,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN PLAZA PATRIA,1018142.14,1018142.14,PERSONA FISICA,#N/A
93932283,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN PLAZA PATRIA,0,1018142.14,PERSONA FISICA,#N/A
95847695,BANCO,CUENTA_EJE,CUENTA_EJE,JAL MARINA VALLARTA,5074.59,5074.59,PERSONA MORAL,#N/A
93471043,BANCO,CUENTA_EJE,CUENTA_EJE,SIN CENTRO FINANCIERO,1876694.39,1876694.39,PERSONA MORAL,#N/A
91807057,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES (CORPORATIVO),4309358.71,6926453.12,PERSONA FISICA,#N/A
92162817,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX ALTAVISTA,4998569.71,4998569.71,PERSONA FISICA,#N/A
91494054,BANCO,CUENTA_EJE,CUENTA_EJE,EDO MEX SATELITE,0,12121834.46,PERSONA FISICA,#N/A
95183034,BANCO,CUENTA_EJE,CUENTA_EJE,JAL GDL ARCOS VALLARTA,0,1146659.86,PERSONA FISICA,#N/A
96161534,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX SANTA FE GLEZ CAMARENA,310000,310000,PERSONA FISICA,#N/A
93262830,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX TERRAZA PEDREGAL,38538.46,38538.46,PERSONA FISICA,ENROLADO
92504307,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX LINDAVISTA,885,704458.61,PERSONA FISICA,#N/A
90986530,BANCO,CUENTA_EJE,CUENTA_EJE,SIN MAZATLAN AV DEL MAR,9007500.51,9963440.97,PERSONA FISICA,#N/A
91156869,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN PLAZA PATRIA,355770.62,355770.62,PERSONA FISICA,#N/A
95835369,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN MARIANO OTERO,1005982.93,1005982.93,PERSONA FISICA,ENROLADO
96034186,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX CORPORATIVO,2760507.35,2760507.35,PERSONA MORAL,#N/A
90001827,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,20894.56,106139.83,PERSONA FISICA,#N/A
95240081,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX PATIO UNIVERSIDAD,60.21,60.21,PERSONA FISICA,#N/A
92416916,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,358219.65,358219.65,PERSONA FISICA,ENROLADO
90279183,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX SANTA FE GLEZ CAMARENA,155000,206619.01,PERSONA FISICA,#N/A
90226713,BANCO,CUENTA_EJE,CUENTA_EJE,NL SAN PEDRO VALLE,13580930.24,13621478.2,PERSONA FISICA,#N/A
90001876,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,1898.85,2035.58,PERSONA FISICA,#N/A
95310900,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,9197.41,9197.41,PERSONA FISICA,#N/A
95304895,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN MARIANO OTERO,17684.93,17684.93,PERSONA FISICA,#N/A
93859999,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX LINDAVISTA,0,392274.43,PERSONA FISICA,#N/A
92676436,BANCO,CUENTA_EJE,CUENTA_EJE,EDO MEX METEPEC PLAZA IZAR,0,0,PERSONA FISICA,#N/A
95872701,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX JULIO VERNE POLANCO,0,0,PERSONA FISICA,#N/A
95115051,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN MARIANO OTERO,25932.68,25932.68,PERSONA FISICA,#N/A
95199063,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,18413.48,145048.65,PERSONA FISICA,#N/A
91091264,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX SANTA FE GLEZ CAMARENA,1835.06,3127212.44,PERSONA FISICA,#N/A
95587713,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,212,0,PERSONA FISICA,#N/A
91537423,BANCO,CUENTA_EJE,CUENTA_EJE,EDO MEX TECAMACHALCO,5590.19,5590.19,PERSONA FISICA,#N/A
94099454,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX SANTA FE GLEZ CAMARENA,509089.63,8761931.94,PERSONA FISICA,#N/A
94572112,BANCO,CUENTA_EJE,CUENTA_EJE,QRO QUERETARO BERNARDO QUINTANA,3912455.2,3912455.2,PERSONA FISICA,#N/A
94869179,BANCO,CUENTA_EJE,CUENTA_EJE,QRO JURICA,262110.47,262110.47,PERSONA FISICA,#N/A
90946724,BANCO,CUENTA_EJE,CUENTA_EJE,EDO MEX SATELITE,2004008.53,2004008.53,PERSONA FISICA,#N/A
90488495,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN MARIANO OTERO,459863,459863,PERSONA FISICA,#N/A
95903696,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,16377.55,16767.74,PERSONA FISICA,ENROLADO
95612826,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,0.14,0.14,PERSONA FISICA,#N/A
93922987,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,194636.58,194636.58,PERSONA FISICA,ENROLADO
95212536,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX JULIO VERNE POLANCO,244528.52,244528.52,PERSONA FISICA,#N/A
93954733,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,20190.22,20190.22,PERSONA FISICA,ENROLADO
95620795,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,2134.9,2139.44,PERSONA FISICA,#N/A
93826279,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,1306412.77,1406865.75,PERSONA FISICA,#N/A
95237848,BANCO,CUENTA_EJE,CUENTA_EJE,JAL GDL PLAZA MEXICO,1353003.54,5428716.98,PERSONA MORAL,#N/A
92559814,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,59228.69,59228.69,PERSONA FISICA,#N/A
93031250,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX SANTA FE GLEZ CAMARENA,3123434.67,3123434.67,PERSONA FISICA,#N/A
90001231,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,287.36,836224.25,PERSONA FISICA,#N/A
92646298,BANCO,CUENTA_EJE,CUENTA_EJE,EDO MEX METEPEC PLAZA IZAR,3830.02,3830.02,PERSONA FISICA,#N/A
90588468,BANCO,CUENTA_EJE,CUENTA_EJE,EDO MEX TECAMACHALCO,309519.07,309519.07,PERSONA FISICA,#N/A
95630455,BANCO,CUENTA_EJE,CUENTA_EJE,JAL CHAPALA AJIJIC,47053.67,47053.67,PERSONA FISICA,#N/A
90574302,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX ALTAVISTA,2801115.99,2801115.99,PERSONA FISICA,#N/A
91635391,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,465220.12,465220.12,PERSONA FISICA,ENROLADO
91966572,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN MARIANO OTERO,101626.76,101626.76,PERSONA FISICA,#N/A
95238507,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,1203.14,1203.14,PERSONA FISICA,#N/A
92858455,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,0,0,PERSONA FISICA,ENROLADO
93368066,BANCO,CUENTA_EJE,CUENTA_EJE,EDO MEX VALLE DORADO,0,0,PERSONA FISICA,#N/A
94494010,BANCO,CUENTA_EJE,CUENTA_EJE,TAMPS NUEVO LAREDO AV COLON,0,2007319.35,PERSONA FISICA,#N/A
93815975,BANCO,CUENTA_EJE,CUENTA_EJE,NL SAN PEDRO GOMEZ MORIN,113544.12,113544.12,PERSONA FISICA,#N/A
95201208,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX XOLA,976469.5,976469.5,PERSONA FISICA,#N/A
93072403,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX LINDAVISTA,13430290.78,13430290.78,PERSONA FISICA,#N/A
93102556,BANCO,CUENTA_EJE,CUENTA_EJE,NL SAN PEDRO GOMEZ MORIN,133.23,133.23,PERSONA FISICA,ENROLADO
90996497,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN MARIANO OTERO,0,0,PERSONA FISICA,#N/A
94403557,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX XOLA,1102764.56,1102764.56,PERSONA FISICA,#N/A
93730679,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN MARIANO OTERO,269211.08,269211.08,PERSONA FISICA,#N/A
93734663,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX SANTA FE GLEZ CAMARENA,0.75,45528.77,PERSONA FISICA,#N/A
95831327,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX PATIO UNIVERSIDAD,547149.02,1767484.75,PERSONA FISICA,#N/A
93437614,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,15024.89,15024.89,PERSONA FISICA,#N/A
94489739,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,172321.7,172321.7,PERSONA FISICA,ENROLADO
91497107,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,183483.7,183483.7,PERSONA FISICA,ENROLADO
94262045,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX SANTA FE BANCO PB,1660563.47,1660563.47,PERSONA FISICA,#N/A
91284984,BANCO,CUENTA_EJE,CUENTA_EJE,YUC MERIDA PLAZA LUXUS ALTABRISA,251433.93,251433.93,PERSONA FISICA,#N/A
92266279,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX PATIO UNIVERSIDAD,864301.87,864301.87,PERSONA FISICA,#N/A
92934991,BANCO,CUENTA_EJE,CUENTA_EJE,JAL MARINA VALLARTA,5252515.58,5252515.58,PERSONA FISICA,#N/A
93260867,BANCO,CUENTA_EJE,CUENTA_EJE,QROO CANCUN PLAZA HOLLYWOOD,3733304.4,3733304.4,PERSONA FISICA,#N/A
94203023,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,1002977.07,1002977.07,PERSONA FISICA,#N/A
94952025,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN PLAZA PATRIA,668461.75,3193881.64,PERSONA FISICA,#N/A
94952025,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN PLAZA PATRIA,2525419.89,3193881.64,PERSONA FISICA,#N/A
95109005,BANCO,CUENTA_EJE,CUENTA_EJE,TAMPS NUEVO LAREDO AV COLON,25900,1327847.64,PERSONA FISICA,#N/A
93584092,BANCO,CUENTA_EJE,CUENTA_EJE,SIN MAZATLAN AV DEL MAR,0,892367.75,PERSONA FISICA,#N/A
93584092,BANCO,CUENTA_EJE,CUENTA_EJE,SIN MAZATLAN AV DEL MAR,892367.75,892367.75,PERSONA FISICA,#N/A
93171841,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,0,0,PERSONA FISICA,#N/A
91722082,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX SANTA FE BANCO PB,399879.52,399879.52,PERSONA FISICA,#N/A
90000530,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,371.83,1374.07,PERSONA FISICA,#N/A
91635870,BANCO,CUENTA_EJE,CUENTA_EJE,EDO MEX TECAMACHALCO,3067895.23,3067895.23,PERSONA FISICA,#N/A
92918275,BANCO,CUENTA_EJE,CUENTA_EJE,JAL GDL ARCOS VALLARTA,309351.74,309351.74,PERSONA FISICA,#N/A
95097465,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN PLAZA PATRIA,1699333.36,1699333.36,PERSONA FISICA,#N/A
95837274,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX ALTAVISTA,60924.44,60924.44,PERSONA FISICA,ENROLADO
95470043,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,8702.39,11800.88,PERSONA FISICA,ENROLADO
95857579,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX ALTAVISTA,457967.89,457967.89,PERSONA MORAL,#N/A
90720905,BANCO,CUENTA_EJE,CUENTA_EJE,MICH MOR AV LAZARO CARDENAS,920883.43,920883.43,PERSONA FISICA,#N/A
94111804,BANCO,CUENTA_EJE,CUENTA_EJE,HGO PACHUCA CAMINO REAL,959934.68,959934.68,PERSONA FISICA,#N/A
95809810,BANCO,CUENTA_EJE,CUENTA_EJE,EDO MEX METEPEC PLAZA IZAR,0,0,PERSONA FISICA,#N/A
92096205,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,45138.65,45138.65,PERSONA FISICA,#N/A
94354388,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX SANTA FE GLEZ CAMARENA,6105889.04,10881840.33,PERSONA FISICA,#N/A
90993791,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,87580.06,87580.06,PERSONA FISICA,#N/A
93544146,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN PLAZA PATRIA,324847.61,324847.61,PERSONA FISICA,#N/A
92573617,BANCO,CUENTA_EJE,CUENTA_EJE,EDO MEX SATELITE,1161605.53,1161605.53,PERSONA FISICA,#N/A
94784451,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX PATIO UNIVERSIDAD,777337.09,777337.09,PERSONA FISICA,#N/A
91856906,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX SANTA FE GLEZ CAMARENA,494488.44,494488.44,PERSONA FISICA,#N/A
93939288,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX TERRAZA PEDREGAL,181781.75,1046086.74,PERSONA FISICA,#N/A
91263657,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN MARIANO OTERO,304563.38,304563.38,PERSONA FISICA,#N/A
93607513,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,0,0,PERSONA FISICA,#N/A
92414564,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,54044.11,54044.11,PERSONA FISICA,#N/A
93716827,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN MARIANO OTERO,126746.15,126746.15,PERSONA FISICA,ENROLADO
91478610,BANCO,CUENTA_EJE,CUENTA_EJE,CD MX MONTES URALES,193993.16,193993.16,PERSONA FISICA,#N/A
95782470,BANCO,CUENTA_EJE,CUENTA_EJE,SIN MAZATLAN AV DEL MAR,93088.87,4606615.72,PERSONA FISICA,ENROLADO
91362715,BANCO,CUENTA_EJE,CUENTA_EJE,JAL ZAPOPAN MARIANO OTERO,486745.4,486745.4,PERSONA FISICA,#N/A
95109526,BANCO,CUENTA_EJE,CUENTA_EJE,TAMPS NUEVO LAREDO AV COLON,500142.22,500142.22,PERSONA FISICA,#N/A
95746079,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,38503.98,38503.98,PERSONA FISICA,#N/A
91356691,BANCO,CUENTA_EJE,CUENTA_EJE,GTO SMA CENTRO,600000,600000,PERSONA FISICA,#N/A
90000043,BANCO,CUENTA_EJE,CUENTA_EJE,PERSONAL ACTINVER,36970.67,38452107.49,PERSONA FISICA,#N/A
91520841,BANCO,CUENTA_EJE,CUENTA_EJE,HGO PACHUCA CAMINO REAL,0,0,PERSONA MORAL,#N/A
95754537,BANCO,CUENTA_EJE,CUENTA_EJE,JAL GDL PLAZA MEXICO,100514.34,100514.34,PERSONA FISICA,ENROLADO
