CLAVE_CLIENTE,UNIDAD_NEGOCIO,EMISORA_FONDO,CATEGORIA_OP,SALDO_CONTRATO,SALDO_CLIENTE,DESC_TIPO_PERS,ENTIDAD_FEDERATIVA,GENERO,EDAD,STATUS_BE,DESC_CE_FINANCIERO,LAT,LONG
93620607,BANCO,ACTICRE,FONDO,523967.75,523967.75,PERSONA FISICA,YUCATÁN,MASCULINO,45,#N/A,YUC MERIDA PLAZA LUXUS ALTABRISA,20.7099,89.0943
91882175,BANCO,ACTIMED,FONDO,121880.83,121880.83,PERSONA FISICA,EDOMEX,FEMENINO,63,ENROLADO,EDO MEX TECAMACHALCO,19.4969,99.7233
91807057,BANCO,CUENTA_EJE,,4309358.71,6926453.12,PERSONA FISICA,CDMX,MASCULINO,50,#N/A,CD MX MONTES URALES (CORPORATIVO),19.4285,99.1277
90408493,BANCO,ACTVIDA,FONDO,12582.7,12582.7,PERSONA FISICA,CDMX,MASCULINO,40,#N/A,CD MX MONTES URALES,19.4285,99.1277
93957090,BANCO,ACTICOB,FONDO,803932.7,803932.7,PERSONA FISICA,CDMX,MASCULINO,49,#N/A,CD MX JULIO VERNE POLANCO,19.4285,99.1277
95218426,BANCO,ACTI500,FONDO,9597363.44,465385.38,PERSONA FISICA,QUERETARO,MASCULINO,65,#N/A,QRO JURICA,20.5888,100.3899
90529488,BANCO,ACTIMED,FONDO,678546.75,678546.75,PERSONA FISICA,CDMX,MASCULINO,48,#N/A,CD MX SANTA FE GLEZ CAMARENA,19.4285,99.1277
93370872,BANCO,PROTEGE,FONDO,244083.7,244083.7,PERSONA FISICA,CDMX,FEMENINO,59,#N/A,CD MX MONTES URALES,19.4285,99.1277
92624584,BANCO,ACTIREN,FONDO,796427.71,796427.71,PERSONA FISICA,CDMX,MASCULINO,58,ENROLADO,CD MX JULIO VERNE POLANCO,19.4285,99.1277
92279645,BANCO,ACTIREN,FONDO,98006.26,98007.3,PERSONA MORAL,CDMX,SIN GENERO,PM,#N/A,CD MX ALTAVISTA,19.4285,99.1277
92663293,BANCO,ALTERNA,FONDO,481303.17,481303.17,PERSONA FISICA,CDMX,FEMENINO,56,ENROLADO,CD MX TERRAZA PEDREGAL,19.4285,99.1277
95244463,BANCO,ACTIGOB,FONDO,2007.83,2007.83,PERSONA FISICA,CIUDAD DE MÉXICO,FEMENINO,28,#N/A,PERSONAL ACTINVER,19.4285,99.1277
91074815,BANCO,IMPULSA,FONDO,224341.66,224341.66,PERSONA FISICA,CDMX,FEMENINO,61,#N/A,CD MX MONTES URALES,19.4285,99.1277
95533055,BANCO,ACTIREN,FONDO,559498.62,2682030.71,PERSONA FISICA,QUERETARO,MASCULINO,59,#N/A,QRO QUERETARO BERNARDO QUINTANA,20.5888,100.3899
93078749,BANCO,ALTERNA,FONDO,10187.44,10187.44,PERSONA FISICA,CDMX,FEMENINO,32,ENROLADO,CD MX MONTES URALES,19.4285,99.1277
93396323,BANCO,ACTI500,FONDO,193945.24,193945.24,PERSONA FISICA,PUEBLA,FEMENINO,47,ENROLADO,PUE CHOLULA CITY ANGELOPOLIS,19.0414,98.2063
95532081,BANCO,ALTERNA,FONDO,11871.52,11871.52,PERSONA FISICA,CDMX,MASCULINO,50,#N/A,PERSONAL ACTINVER,19.4285,99.1277
92392075,BANCO,ACTVIDA,FONDO,335685.06,335685.06,PERSONA FISICA,MORELOS,MASCULINO,48,ENROLADO,MOR CUERNAVACA DOMINGO DIEZ,18.6813,99.1013
95655627,BANCO,ACTIMED,FONDO,4797.2,5797.25,PERSONA FISICA,JALISCO,FEMENINO,40,#N/A,PERSONAL ACTINVER,19.4285,99.1277
90871641,BANCO,ACTIREN,FONDO,301339.27,301339.27,PERSONA FISICA,CDMX,MASCULINO,50,#N/A,CD MX SANTA FE GLEZ CAMARENA,19.4285,99.1277
94154663,BANCO,ALTERNA,FONDO,544020.05,544020.05,PERSONA FISICA,CDMX,MASCULINO,37,ENROLADO,CD MX MONTES URALES,19.4285,99.1277
90823857,BANCO,ACTIGOB,FONDO,27153.48,27153.48,PERSONA FISICA,CDMX,MASCULINO,53,ENROLADO,CD MX PATIO UNIVERSIDAD,19.4285,99.1277
95100889,BANCO,ACTIMED,FONDO,83313.3,83313.3,PERSONA FISICA,JALISCO,FEMENINO,70,ENROLADO,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
94450962,BANCO,IMPULSA,FONDO,2518750.46,2518750.46,PERSONA FISICA,CDMX,FEMENINO,57,#N/A,CD MX SANTA FE GLEZ CAMARENA,19.4285,99.1277
93551661,BANCO,ACTIMED,FONDO,3858815.74,5076212.38,PERSONA FISICA,CDMX,FEMENINO,54,#N/A,CD MX JULIO VERNE POLANCO,19.4285,99.1277
93512200,BANCO,ACTIREN,FONDO,3030.18,3387.58,PERSONA FISICA,CDMX,FEMENINO,37,#N/A,PERSONAL ACTINVER,19.4285,99.1277
94501061,BANCO,ACTIMED,FONDO,365695.44,365695.44,PERSONA FISICA,JALISCO,MASCULINO,48,ENROLADO,JAL GDL ARCOS VALLARTA,20.6595,103.3494
93903086,BANCO,ACTICOB,FONDO,406857.45,406857.45,PERSONA FISICA,JALISCO,FEMENINO,71,#N/A,JAL MARINA VALLARTA,20.6595,103.3494
90000720,BANCO,ACTIGOB,FONDO,153621.06,153621.06,PERSONA FISICA,CDMX,MASCULINO,59,#N/A,PERSONAL ACTINVER,19.4285,99.1277
93510444,BANCO,ACTIMED,FONDO,161809.97,161809.97,PERSONA FISICA,JALISCO,MASCULINO,56,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
92162817,BANCO,CUENTA_EJE,,4998569.71,4998569.71,PERSONA FISICA,CDMX,MASCULINO,84,#N/A,CD MX ALTAVISTA,19.4285,99.1277
93545358,BANCO,ACTIMED,FONDO,141830.53,1759852.68,PERSONA FISICA,JALISCO,MASCULINO,83,#N/A,JAL GDL ARCOS VALLARTA,20.6595,103.3494
95728069,BANCO,ACTVIDA,FONDO,746420.56,746420.56,PERSONA FISICA,JALISCO,MASCULINO,39,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
95279469,BANCO,ACTIMED,FONDO,130549.85,130549.85,PERSONA FISICA,JALISCO,FEMENINO,53,#N/A,JAL GDL FORUM TLAQUEPAQUE,20.6595,103.3494
91494054,BANCO,CUENTA_EJE,,-1,12121834.46,PERSONA FISICA,EDOMEX,FEMENINO,50,#N/A,EDO MEX SATELITE,19.4969,99.7233
94905643,BANCO,IMPULSA,FONDO,566831.75,566831.75,PERSONA FISICA,JALISCO,FEMENINO,36,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
95238895,BANCO,ALTERNA,FONDO,516594.66,516594.66,PERSONA FISICA,QUINTANA ROO,MASCULINO,55,#N/A,QROO CANCUN PLAZA HOLLYWOOD,19.1817,88.4791
91881409,BANCO,ACTIREN,FONDO,923720.63,923720.63,PERSONA FISICA,CDMX,MASCULINO,76,ENROLADO,CD MX JULIO VERNE POLANCO,19.4285,99.1277
90412669,BANCO,ACTVIDA,FONDO,611441.47,611441.47,PERSONA FISICA,JALISCO,FEMENINO,60,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
93292142,BANCO,ACTIMED,FONDO,403010.61,403010.61,PERSONA FISICA,GUANAJUATO,FEMENINO,72,ENROLADO,GTO SMA PLAZA LUCIERNAGA,21.019,101.2574
93586931,BANCO,ACTIREN,FONDO,400143.07,400143.07,PERSONA FISICA,JALISCO,FEMENINO,57,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
92761048,BANCO,ACTIMED,FONDO,223363.9,223363.9,PERSONA FISICA,JALISCO,FEMENINO,64,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
95486312,BANCO,ACTIMED,FONDO,310197.74,310197.74,PERSONA FISICA,PUEBLA,FEMENINO,67,ENROLADO,PUE CHOLULA CITY ANGELOPOLIS,19.0414,98.2063
94368057,BANCO,ALTERNA,FONDO,326645.41,326645.41,PERSONA FISICA,QUERETARO,FEMENINO,62,#N/A,QRO QUERETARO BERNARDO QUINTANA,20.5888,100.3899
95098455,BANCO,ACTIREN,FONDO,252606.58,252606.58,PERSONA FISICA,ESTADO DE MÉXICO,MASCULINO,55,#N/A,PERSONAL ACTINVER,19.4285,99.1277
93575165,BANCO,ACTIMED,FONDO,480856.26,480856.26,PERSONA FISICA,JALISCO,FEMENINO,74,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
91410340,BANCO,IMPULSA,FONDO,12981.83,12981.83,PERSONA FISICA,JALISCO,MASCULINO,55,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
94955572,BANCO,ACTI500,FONDO,180935.63,180935.63,PERSONA FISICA,JALISCO,MASCULINO,51,#N/A,JAL ZAPOPAN PLAZA PATRIA,20.6595,103.3494
93836393,BANCO,ACTIMED,FONDO,156334.32,162561.12,PERSONA FISICA,EDOMEX,MASCULINO,41,ENROLADO,EDO MEX METEPEC PLAZA IZAR,19.4969,99.7233
92172675,BANCO,ACTIPLU,FONDO,35000.68,35000.68,PERSONA FISICA,JALISCO,FEMENINO,76,#N/A,JAL GDL PLAZA MEXICO,20.6595,103.3494
94101557,BANCO,ACTIMED,FONDO,1821005.47,1821005.47,PERSONA FISICA,CDMX,MASCULINO,53,#N/A,CD MX JULIO VERNE POLANCO,19.4285,99.1277
93427631,BANCO,ALTERNA,FONDO,270192.22,270192.22,PERSONA FISICA,JALISCO,MASCULINO,75,ENROLADO,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
93439784,BANCO,ACTIGOB,FONDO,1016578.02,1016578.02,PERSONA FISICA,CDMX,FEMENINO,59,#N/A,CD MX SANTA FE GLEZ CAMARENA,19.4285,99.1277
94488871,BANCO,IMPULSA,FONDO,509532.2,509532.2,PERSONA FISICA,CDMX,FEMENINO,75,ENROLADO,CD MX TERRAZA PEDREGAL,19.4285,99.1277
93652881,BANCO,ACTVIDA,FONDO,381936.88,381936.88,PERSONA FISICA,JALISCO,FEMENINO,44,#N/A,JAL ZAPOPAN MARIANO OTERO,20.6595,103.3494
93727592,BANCO,ACTIVAR,FONDO,4777806.14,4777806.14,PERSONA FISICA,PUEBLA,MASCULINO,58,#N/A,PUE CHOLULA CITY ANGELOPOLIS,19.0414,98.2063
95183034,BANCO,CUENTA_EJE,,-1,1146659.86,PERSONA FISICA,JALISCO,FEMENINO,48,#N/A,JAL GDL ARCOS VALLARTA,20.6595,103.3494
93352243,BANCO,ACTIGOB,FONDO,132537.89,132537.89,PERSONA FISICA,EDOMEX,MASCULINO,26,#N/A,EDO MEX TOLUCA V CARRANZA,19.4969,99.7233
95088431,BANCO,ACTIMED,FONDO,1070.2,1070.2,PERSONA FISICA,CDMX,FEMENINO,26,#N/A,PERSONAL ACTINVER,19.4285,99.1277
92073436,BANCO,ORION,FONDO,118980.25,118980.25,PERSONA FISICA,QUINTANA ROO,MASCULINO,50,#N/A,QROO CANCUN PLAZA HOLLYWOOD,19.1817,88.4791
91154880,BANCO,ACTIMED,FONDO,78361.56,78361.56,PERSONA FISICA,CDMX,FEMENINO,90,ENROLADO,CD MX XOLA,19.4285,99.1277
95996526,BANCO,ACTIMED,FONDO,316173.89,316173.89,PERSONA FISICA,CDMX,FEMENINO,48,#N/A,PERSONAL ACTINVER,19.4285,99.1277
92168418,BANCO,ALTERNA,FONDO,1575523.56,1575523.56,PERSONA FISICA,CDMX,MASCULINO,64,ENROLADO,CD MX MONTES URALES,19.4285,99.1277
95900239,BANCO,ACTIMED,FONDO,883.36,883.36,PERSONA FISICA,CDMX,MASCULINO,23,#N/A,PERSONAL ACTINVER,19.4285,99.1277
94495231,BANCO,ACTIREN,FONDO,1342812.36,1342812.36,PERSONA MORAL,CDMX,SIN GENERO,PM,#N/A,PERSONAL ACTINVER,19.4285,99.1277
95604211,BANCO,ALTERNA,FONDO,134744.96,134744.96,PERSONA FISICA,EDOMEX,FEMENINO,32,#N/A,EDO MEX SATELITE,19.4969,99.7233
96007034,BANCO,ACTIMED,FONDO,1140736.75,1140736.75,PERSONA FISICA,SINALOA,MASCULINO,41,ENROLADO,SIN LOS MOCHIS PLAZA ROSALES,25.8227,108.2217
91839936,BANCO,MAYA,FONDO,972247.95,972247.95,PERSONA FISICA,CDMX,FEMENINO,71,#N/A,CD MX SANTA FE GLEZ CAMARENA,19.4285,99.1277
93154383,BANCO,ACTIREN,FONDO,92424.27,92424.27,PERSONA FISICA,CDMX,MASCULINO,54,ENROLADO,CD MX MONTES URALES,19.4285,99.1277
93523959,BANCO,ACTIG+,FONDO,486541.46,2365742.5,PERSONA FISICA,CDMX,FEMENINO,62,#N/A,CD MX MONTES URALES,19.4285,99.1277
90642828,BANCO,ACTIREN,FONDO,181898.4,182657.07,PERSONA FISICA,ESTADO DE MÉXICO,MASCULINO,32,#N/A,PERSONAL ACTINVER,19.4285,99.1277
95930277,BANCO,ACTI500,FONDO,1066452.02,1066452.02,PERSONA FISICA,JALISCO,MASCULINO,43,#N/A,JAL ZAPOPAN ANDARES BANCO,20.6595,103.3494
91688770,BANCO,ACTIREN,FONDO,948136.95,948136.95,PERSONA FISICA,JALISCO,MASCULINO,50,#N/A,JAL GDL ARCOS VALLARTA,20.6595,103.3494
93289296,BANCO,ACTIMED,FONDO,267173.34,661638.87,PERSONA FISICA,QUERETARO,FEMENINO,47,#N/A,QRO JURICA,20.5888,100.3899
95772729,BANCO,ACTIGOB,FONDO,16559.22,16565.15,PERSONA FISICA,CDMX,MASCULINO,25,#N/A,PERSONAL ACTINVER,19.4285,99.1277
93787059,BANCO,ACTIMED,FONDO,1390946.13,1505385.37,PERSONA FISICA,EDOMEX,FEMENINO,67,#N/A,EDO MEX SATELITE,19.4969,99.7233
93894590,BANCO,ALTERNA,FONDO,4478356.42,6786814,PERSONA FISICA,CDMX,FEMENINO,57,#N/A,CD MX JULIO VERNE POLANCO,19.4285,99.1277
92001882,BANCO,ACTVIDA,FONDO,513726.38,513726.38,PERSONA FISICA,JALISCO,FEMENINO,56,#N/A,JAL ZAPOPAN PLAZA PATRIA,20.6595,103.3494
94254141,BANCO,ACTIMED,FONDO,423282.12,482578.97,PERSONA FISICA,CDMX,FEMENINO,40,#N/A,PERSONAL ACTINVER,19.4285,99.1277
92619675,BANCO,ALTERNA,FONDO,1000360.45,1000360.45,PERSONA FISICA,BAJA CALIFORNIA,FEMENINO,54,#N/A,BC TIJUANA PASEO,30.8406,115.2838
96161534,BANCO,CUENTA_EJE,,310000,310000,PERSONA FISICA,CDMX,FEMENINO,27,#N/A,CD MX SANTA FE GLEZ CAMARENA,19.4285,99.1277
94875911,BANCO,ACTVIDA,FONDO,710463.13,710463.13,PERSONA FISICA,CDMX,FEMENINO,62,ENROLADO,CD MX ALTAVISTA,19.4285,99.1277
92227529,BANCO,ACTIMED,FONDO,2897198.88,2897198.88,PERSONA FISICA,CDMX,MASCULINO,47,#N/A,CD MX JULIO VERNE POLANCO,19.4285,99.1277
96093380,BANCO,ALTERNA,FONDO,37420.82,37420.82,PERSONA FISICA,CDMX,MASCULINO,63,ENROLADO,CD MX MONTES URALES,19.4285,99.1277
