"date","device","failure","attribute1","attribute2","attribute3","attribute4","attribute5","attribute6","attribute7","attribute8","attribute9","l.attribute1","l.attribute2","l.attribute3","l.attribute4","l.attribute5","l.attribute6","l.attribute7","l.attribute8","l.attribute9"
2015-01-18,"S1F023H2",0,41291000,0,0,1,19,513722,16,16,3,20761856,0,0,1,19,513110,16,16,3
2015-01-19,"S1F023H2",1,64499464,0,0,1,19,514661,16,16,3,41291000,0,0,1,19,513722,16,16,3
2015-01-02,"S1F03YZM",0,75670840,0,0,0,7,200488,0,0,0,55587136,0,0,0,7,199132,0,0,0
2015-01-03,"S1F03YZM",0,95736464,0,0,0,7,201873,0,0,0,75670840,0,0,0,7,200488,0,0,0
2015-01-04,"S1F03YZM",0,118494816,0,0,0,7,203215,0,0,0,95736464,0,0,0,7,201873,0,0,0
2015-01-05,"S1F03YZM",0,140199000,0,0,0,7,204540,0,0,0,118494816,0,0,0,7,203215,0,0,0
2015-01-06,"S1F03YZM",0,163528176,0,0,0,7,205928,0,0,0,140199000,0,0,0,7,204540,0,0,0
2015-01-07,"S1F03YZM",0,190558144,0,0,0,7,207209,0,0,0,163528176,0,0,0,7,205928,0,0,0
2015-01-08,"S1F03YZM",0,212529664,0,0,0,7,208562,0,0,0,190558144,0,0,0,7,207209,0,0,0
2015-01-09,"S1F03YZM",0,237005920,0,0,0,7,209936,0,0,0,212529664,0,0,0,7,208562,0,0,0
2015-01-10,"S1F03YZM",0,10182240,0,0,0,7,211291,0,0,0,237005920,0,0,0,7,209936,0,0,0
2015-01-11,"S1F03YZM",0,31601664,0,0,0,7,212636,0,0,0,10182240,0,0,0,7,211291,0,0,0
2015-01-12,"S1F03YZM",0,51737064,0,0,0,7,214019,0,0,0,31601664,0,0,0,7,212636,0,0,0
2015-01-13,"S1F03YZM",0,80064672,0,0,0,7,215320,0,0,0,51737064,0,0,0,7,214019,0,0,0
2015-01-14,"S1F03YZM",0,98462264,0,0,0,7,216674,0,0,0,80064672,0,0,0,7,215320,0,0,0
2015-01-15,"S1F03YZM",0,119044184,0,0,0,7,218022,0,0,0,98462264,0,0,0,7,216674,0,0,0
2015-01-16,"S1F03YZM",0,139366904,0,0,0,7,219403,0,0,0,119044184,0,0,0,7,218022,0,0,0
2015-01-17,"S1F03YZM",0,168567744,0,0,0,7,219470,0,0,0,139366904,0,0,0,7,219403,0,0,0
2015-01-18,"S1F03YZM",0,159520208,0,0,0,7,219470,0,0,0,168567744,0,0,0,7,219470,0,0,0
2015-01-19,"S1F03YZM",0,147586048,0,0,0,7,219649,0,0,0,159520208,0,0,0,7,219470,0,0,0
2015-01-20,"S1F03YZM",0,165733464,0,0,0,7,220675,0,0,0,147586048,0,0,0,7,219649,0,0,0
2015-01-21,"S1F03YZM",0,178914952,0,0,0,7,222065,0,0,0,165733464,0,0,0,7,220675,0,0,0
2015-01-22,"S1F03YZM",0,187802744,0,0,0,8,222590,0,0,0,178914952,0,0,0,7,222065,0,0,0
2015-01-23,"S1F03YZM",0,138997512,0,0,0,8,223354,0,0,0,187802744,0,0,0,8,222590,0,0,0
2015-01-24,"S1F03YZM",0,140539696,0,0,0,8,223354,0,0,0,138997512,0,0,0,8,223354,0,0,0
2015-01-25,"S1F03YZM",0,192560560,0,0,0,8,223354,0,0,0,140539696,0,0,0,8,223354,0,0,0
2015-01-26,"S1F03YZM",0,130021328,0,0,0,8,224291,0,0,0,192560560,0,0,0,8,223354,0,0,0
2015-01-27,"S1F03YZM",0,147081280,0,0,0,8,225628,0,0,0,130021328,0,0,0,8,224291,0,0,0
2015-01-28,"S1F03YZM",0,170829816,0,0,0,8,226937,0,0,0,147081280,0,0,0,8,225628,0,0,0
2015-01-29,"S1F03YZM",0,59370296,0,0,0,8,227450,0,0,0,170829816,0,0,0,8,226937,0,0,0
2015-01-30,"S1F03YZM",0,86183032,0,0,0,8,227450,0,0,0,59370296,0,0,0,8,227450,0,0,0
2015-01-31,"S1F03YZM",0,90203448,0,0,0,8,227454,0,0,0,86183032,0,0,0,8,227450,0,0,0
2015-02-01,"S1F03YZM",0,116400176,0,0,0,8,227454,0,0,0,90203448,0,0,0,8,227454,0,0,0
2015-02-02,"S1F03YZM",0,171153216,0,0,0,8,227454,0,0,0,116400176,0,0,0,8,227454,0,0,0
2015-02-03,"S1F03YZM",0,131554264,0,0,0,8,227454,0,0,0,171153216,0,0,0,8,227454,0,0,0
2015-02-04,"S1F03YZM",0,133316968,0,0,0,8,227623,0,0,0,131554264,0,0,0,8,227454,0,0,0
2015-02-05,"S1F03YZM",0,103038392,0,0,0,8,227623,0,0,0,133316968,0,0,0,8,227623,0,0,0
2015-02-06,"S1F03YZM",0,97144048,0,0,0,8,227623,0,0,0,103038392,0,0,0,8,227623,0,0,0
2015-02-07,"S1F03YZM",0,103432376,0,0,0,8,227623,0,0,0,97144048,0,0,0,8,227623,0,0,0
2015-02-08,"S1F03YZM",0,123860080,0,0,0,8,227623,0,0,0,103432376,0,0,0,8,227623,0,0,0
2015-02-09,"S1F03YZM",0,221455040,0,0,0,8,227623,0,0,0,123860080,0,0,0,8,227623,0,0,0
2015-02-10,"S1F03YZM",0,30527312,0,0,0,8,227623,0,0,0,221455040,0,0,0,8,227623,0,0,0
2015-02-11,"S1F03YZM",0,22682512,0,0,0,8,227623,0,0,0,30527312,0,0,0,8,227623,0,0,0
2015-02-12,"S1F03YZM",0,81064192,0,0,0,8,227625,0,0,0,22682512,0,0,0,8,227623,0,0,0
2015-02-13,"S1F03YZM",0,137403448,0,0,0,8,227625,0,0,0,81064192,0,0,0,8,227625,0,0,0
2015-02-14,"S1F03YZM",0,113651592,0,0,0,8,227625,0,0,0,137403448,0,0,0,8,227625,0,0,0
2015-02-15,"S1F03YZM",0,51258664,0,0,0,8,227625,0,0,0,113651592,0,0,0,8,227625,0,0,0
2015-02-16,"S1F03YZM",0,150742216,0,0,0,8,227625,0,0,0,51258664,0,0,0,8,227625,0,0,0
2015-02-17,"S1F03YZM",0,173566056,0,0,0,8,227625,0,0,0,150742216,0,0,0,8,227625,0,0,0
2015-02-18,"S1F03YZM",0,172856688,0,0,0,8,227625,0,0,0,173566056,0,0,0,8,227625,0,0,0
2015-02-19,"S1F03YZM",0,30805240,0,0,0,8,227626,0,0,0,172856688,0,0,0,8,227625,0,0,0
2015-02-20,"S1F03YZM",0,56401920,0,0,0,8,227626,0,0,0,30805240,0,0,0,8,227626,0,0,0
2015-02-21,"S1F03YZM",0,12177648,0,0,0,8,227626,0,0,0,56401920,0,0,0,8,227626,0,0,0
2015-02-22,"S1F03YZM",0,40051880,0,0,0,8,227626,0,0,0,12177648,0,0,0,8,227626,0,0,0
2015-02-23,"S1F03YZM",0,33941016,0,0,0,8,227627,0,0,0,40051880,0,0,0,8,227626,0,0,0
2015-02-24,"S1F03YZM",0,78719664,0,0,0,8,227627,0,0,0,33941016,0,0,0,8,227627,0,0,0
2015-02-25,"S1F03YZM",0,5788632,0,0,0,8,227634,0,0,0,78719664,0,0,0,8,227627,0,0,0
2015-02-26,"S1F03YZM",0,208241328,0,0,0,8,227634,0,0,0,5788632,0,0,0,8,227634,0,0,0
2015-02-27,"S1F03YZM",0,197679096,0,0,0,8,227650,0,0,0,208241328,0,0,0,8,227634,0,0,0
2015-02-28,"S1F03YZM",0,166964232,0,0,0,8,227650,0,0,0,197679096,0,0,0,8,227650,0,0,0
2015-03-01,"S1F03YZM",0,119526152,0,0,0,8,227650,0,0,0,166964232,0,0,0,8,227650,0,0,0
2015-03-02,"S1F03YZM",0,78863360,0,0,0,8,227650,0,0,0,119526152,0,0,0,8,227650,0,0,0
2015-03-03,"S1F03YZM",0,75721216,0,0,0,8,227650,0,0,0,78863360,0,0,0,8,227650,0,0,0
2015-03-04,"S1F03YZM",0,147673672,0,0,0,8,227650,0,0,0,75721216,0,0,0,8,227650,0,0,0
2015-03-05,"S1F03YZM",0,130211280,0,0,0,8,227650,0,0,0,147673672,0,0,0,8,227650,0,0,0
2015-03-06,"S1F03YZM",0,134801848,0,0,0,8,227654,0,0,0,130211280,0,0,0,8,227650,0,0,0
2015-03-07,"S1F03YZM",0,154028600,0,0,0,8,227654,0,0,0,134801848,0,0,0,8,227654,0,0,0
2015-03-08,"S1F03YZM",0,208485056,0,0,0,8,227654,0,0,0,154028600,0,0,0,8,227654,0,0,0
2015-03-09,"S1F03YZM",0,223786872,0,0,0,8,227654,0,0,0,208485056,0,0,0,8,227654,0,0,0
2015-03-10,"S1F03YZM",0,152865960,0,0,0,8,227654,0,0,0,223786872,0,0,0,8,227654,0,0,0
2015-03-11,"S1F03YZM",0,106236992,0,0,0,8,227654,0,0,0,152865960,0,0,0,8,227654,0,0,0
2015-03-12,"S1F03YZM",0,157767616,0,0,0,8,227654,0,0,0,106236992,0,0,0,8,227654,0,0,0
2015-03-13,"S1F03YZM",0,136360976,0,0,0,8,227654,0,0,0,157767616,0,0,0,8,227654,0,0,0
2015-03-14,"S1F03YZM",0,137133672,0,0,0,8,227654,0,0,0,136360976,0,0,0,8,227654,0,0,0
2015-03-15,"S1F03YZM",0,173105760,0,0,0,8,227654,0,0,0,137133672,0,0,0,8,227654,0,0,0
2015-03-16,"S1F03YZM",0,183099264,0,0,0,8,227654,0,0,0,173105760,0,0,0,8,227654,0,0,0
2015-03-17,"S1F03YZM",0,163888536,0,0,0,8,227654,0,0,0,183099264,0,0,0,8,227654,0,0,0
2015-03-18,"S1F03YZM",0,200160600,0,0,0,8,228152,0,0,0,163888536,0,0,0,8,227654,0,0,0
2015-03-19,"S1F03YZM",0,219181600,0,0,0,8,229504,0,0,0,200160600,0,0,0,8,228152,0,0,0
2015-03-20,"S1F03YZM",0,87074736,0,0,0,8,230273,0,0,0,219181600,0,0,0,8,229504,0,0,0
2015-03-21,"S1F03YZM",0,89671816,0,0,0,8,230273,0,0,0,87074736,0,0,0,8,230273,0,0,0
2015-03-22,"S1F03YZM",0,128814536,0,0,0,8,230732,0,0,0,89671816,0,0,0,8,230273,0,0,0
2015-03-23,"S1F03YZM",0,150696680,0,0,0,8,232041,0,0,0,128814536,0,0,0,8,230732,0,0,0
2015-03-24,"S1F03YZM",0,115106072,0,0,0,8,233277,0,0,0,150696680,0,0,0,8,232041,0,0,0
2015-03-25,"S1F03YZM",0,134712168,0,0,0,8,234599,0,0,0,115106072,0,0,0,8,233277,0,0,0
2015-03-26,"S1F03YZM",0,146649320,0,0,0,8,235941,0,0,0,134712168,0,0,0,8,234599,0,0,0
2015-03-27,"S1F03YZM",0,169282752,0,0,0,8,237266,0,0,0,146649320,0,0,0,8,235941,0,0,0
2015-03-28,"S1F03YZM",0,190822200,0,0,0,8,238664,0,0,0,169282752,0,0,0,8,237266,0,0,0
2015-03-29,"S1F03YZM",0,210068936,0,0,0,8,240004,0,0,0,190822200,0,0,0,8,238664,0,0,0
2015-03-30,"S1F03YZM",0,232717416,0,0,0,8,241332,0,0,0,210068936,0,0,0,8,240004,0,0,0
2015-03-31,"S1F03YZM",0,8470992,0,0,0,8,242741,0,0,0,232717416,0,0,0,8,241332,0,0,0
2015-04-01,"S1F03YZM",0,26039272,0,0,0,8,244095,0,0,0,8470992,0,0,0,8,242741,0,0,0
2015-04-02,"S1F03YZM",0,231977128,0,0,0,8,245305,0,0,0,26039272,0,0,0,8,244095,0,0,0
2015-04-03,"S1F03YZM",0,5728896,0,0,0,8,246645,0,0,0,231977128,0,0,0,8,245305,0,0,0
2015-04-04,"S1F03YZM",0,68288760,0,0,0,8,247519,0,0,0,5728896,0,0,0,8,246645,0,0,0
2015-04-05,"S1F03YZM",0,63798760,0,0,0,8,247519,0,0,0,68288760,0,0,0,8,247519,0,0,0
2015-04-06,"S1F03YZM",0,125487248,0,0,0,8,247519,0,0,0,63798760,0,0,0,8,247519,0,0,0
2015-04-07,"S1F03YZM",0,180006296,0,0,0,8,248387,0,0,0,125487248,0,0,0,8,247519,0,0,0
2015-04-08,"S1F03YZM",0,189670496,0,0,0,8,249722,0,0,0,180006296,0,0,0,8,248387,0,0,0
2015-04-09,"S1F03YZM",0,194028064,0,0,0,8,250452,0,0,0,189670496,0,0,0,8,249722,0,0,0
2015-04-10,"S1F03YZM",0,26091720,0,0,0,8,250452,0,0,0,194028064,0,0,0,8,250452,0,0,0
2015-04-11,"S1F03YZM",0,30841280,0,0,0,8,250452,0,0,0,26091720,0,0,0,8,250452,0,0,0
2015-04-12,"S1F03YZM",0,123007296,0,0,0,8,251432,0,0,0,30841280,0,0,0,8,250452,0,0,0
2015-04-13,"S1F03YZM",0,140457464,0,0,0,8,252782,0,0,0,123007296,0,0,0,8,251432,0,0,0
2015-04-14,"S1F03YZM",0,164153216,0,0,0,8,254114,0,0,0,140457464,0,0,0,8,252782,0,0,0
2015-04-15,"S1F03YZM",0,181272456,0,0,0,8,255458,0,0,0,164153216,0,0,0,8,254114,0,0,0
2015-04-16,"S1F03YZM",0,72402112,0,0,0,8,256108,0,0,0,181272456,0,0,0,8,255458,0,0,0
2015-04-17,"S1F03YZM",0,13404744,0,0,0,8,256108,0,0,0,72402112,0,0,0,8,256108,0,0,0
2015-04-18,"S1F03YZM",0,231315808,0,0,0,8,256108,0,0,0,13404744,0,0,0,8,256108,0,0,0
2015-04-19,"S1F03YZM",0,76922376,0,0,0,8,256108,0,0,0,231315808,0,0,0,8,256108,0,0,0
2015-04-20,"S1F03YZM",0,87775040,0,0,0,8,256108,0,0,0,76922376,0,0,0,8,256108,0,0,0
2015-04-21,"S1F03YZM",0,51551992,0,0,0,8,256108,0,0,0,87775040,0,0,0,8,256108,0,0,0
2015-04-22,"S1F03YZM",0,124954840,0,0,0,8,256108,0,0,0,51551992,0,0,0,8,256108,0,0,0
2015-04-23,"S1F03YZM",0,122383776,0,0,0,8,256110,0,0,0,124954840,0,0,0,8,256108,0,0,0
2015-04-24,"S1F03YZM",0,84901640,0,0,0,8,256112,0,0,0,122383776,0,0,0,8,256110,0,0,0
2015-04-25,"S1F03YZM",0,63585776,0,0,0,8,256112,0,0,0,84901640,0,0,0,8,256112,0,0,0
2015-04-26,"S1F03YZM",0,107155936,0,0,0,8,256112,0,0,0,63585776,0,0,0,8,256112,0,0,0
2015-04-27,"S1F03YZM",0,84271584,0,0,0,8,256112,0,0,0,107155936,0,0,0,8,256112,0,0,0
2015-04-28,"S1F03YZM",0,54253456,0,0,0,8,256112,0,0,0,84271584,0,0,0,8,256112,0,0,0
2015-04-29,"S1F03YZM",0,9276552,0,0,0,8,256127,0,0,0,54253456,0,0,0,8,256112,0,0,0
2015-04-30,"S1F03YZM",0,206595744,0,0,0,8,256127,0,0,0,9276552,0,0,0,8,256127,0,0,0
2015-05-01,"S1F03YZM",0,105800184,0,0,0,8,256129,0,0,0,206595744,0,0,0,8,256127,0,0,0
2015-05-02,"S1F03YZM",0,39868280,0,0,0,8,256129,0,0,0,105800184,0,0,0,8,256129,0,0,0
2015-05-03,"S1F03YZM",0,15529952,0,0,0,8,256129,0,0,0,39868280,0,0,0,8,256129,0,0,0
2015-05-04,"S1F03YZM",0,18943080,0,0,0,8,256129,0,0,0,15529952,0,0,0,8,256129,0,0,0
2015-05-05,"S1F03YZM",0,203186152,0,0,0,8,256129,0,0,0,18943080,0,0,0,8,256129,0,0,0
2015-05-06,"S1F03YZM",0,228386000,0,0,0,8,256129,0,0,0,203186152,0,0,0,8,256129,0,0,0
2015-05-07,"S1F03YZM",0,129162568,0,0,0,8,256129,0,0,0,228386000,0,0,0,8,256129,0,0,0
2015-05-08,"S1F03YZM",0,22017712,0,0,0,8,256614,0,0,0,129162568,0,0,0,8,256129,0,0,0
2015-05-09,"S1F03YZM",0,34572152,0,0,0,8,257938,0,0,0,22017712,0,0,0,8,256614,0,0,0
2015-05-10,"S1F03YZM",0,49960688,0,0,0,8,259299,0,0,0,34572152,0,0,0,8,257938,0,0,0
2015-05-11,"S1F03YZM",0,66609912,0,0,0,8,260708,0,0,0,49960688,0,0,0,8,259299,0,0,0
2015-05-12,"S1F03YZM",0,169070800,0,0,0,8,261333,0,0,0,66609912,0,0,0,8,260708,0,0,0
2015-05-13,"S1F03YZM",0,84745240,0,0,0,8,261333,0,0,0,169070800,0,0,0,8,261333,0,0,0
2015-05-14,"S1F03YZM",0,108434784,0,0,0,8,261333,0,0,0,84745240,0,0,0,8,261333,0,0,0
2015-05-15,"S1F03YZM",0,9041008,0,0,0,8,261335,0,0,0,108434784,0,0,0,8,261333,0,0,0
2015-05-16,"S1F03YZM",0,169211704,0,0,0,8,261335,0,0,0,9041008,0,0,0,8,261335,0,0,0
2015-05-17,"S1F03YZM",0,214745464,0,0,0,8,261335,0,0,0,169211704,0,0,0,8,261335,0,0,0
2015-05-18,"S1F03YZM",0,152789952,8,0,0,8,261335,0,0,0,214745464,0,0,0,8,261335,0,0,0
2015-05-19,"S1F03YZM",0,153389472,8,0,0,8,261335,0,0,0,152789952,8,0,0,8,261335,0,0,0
2015-05-20,"S1F03YZM",0,94187544,8,0,0,8,261353,0,0,0,153389472,8,0,0,8,261335,0,0,0
2015-05-21,"S1F03YZM",0,215565736,8,0,0,8,261353,0,0,0,94187544,8,0,0,8,261353,0,0,0
2015-05-22,"S1F03YZM",0,205701176,8,0,0,8,261353,0,0,0,215565736,8,0,0,8,261353,0,0,0
2015-05-23,"S1F03YZM",0,147513992,8,0,0,8,261353,0,0,0,205701176,8,0,0,8,261353,0,0,0
2015-05-24,"S1F03YZM",0,59787504,8,0,0,8,261353,0,0,0,147513992,8,0,0,8,261353,0,0,0
2015-05-25,"S1F03YZM",0,14963808,8,0,0,8,261353,0,0,0,59787504,8,0,0,8,261353,0,0,0
2015-05-26,"S1F03YZM",0,11448384,8,0,0,8,261353,0,0,0,14963808,8,0,0,8,261353,0,0,0
2015-05-27,"S1F03YZM",0,241643496,8,0,0,8,261354,0,0,0,11448384,8,0,0,8,261353,0,0,0
2015-05-28,"S1F03YZM",0,200969688,8,0,0,8,261354,0,0,0,241643496,8,0,0,8,261354,0,0,0
2015-05-29,"S1F03YZM",0,120594400,8,0,0,8,262027,0,0,0,200969688,8,0,0,8,261354,0,0,0
2015-05-30,"S1F03YZM",0,131648696,8,0,0,8,263363,0,0,0,120594400,8,0,0,8,262027,0,0,0
2015-05-31,"S1F03YZM",0,150884720,8,0,0,8,264744,0,0,0,131648696,8,0,0,8,263363,0,0,0
2015-06-01,"S1F03YZM",0,169899328,8,0,0,8,266065,0,0,0,150884720,8,0,0,8,264744,0,0,0
2015-06-02,"S1F03YZM",0,7022192,8,0,0,8,266450,0,0,0,169899328,8,0,0,8,266065,0,0,0
2015-06-03,"S1F03YZM",0,196838048,8,0,0,8,266450,0,0,0,7022192,8,0,0,8,266450,0,0,0
2015-06-04,"S1F03YZM",0,120291288,8,0,0,8,266450,0,0,0,196838048,8,0,0,8,266450,0,0,0
2015-06-05,"S1F03YZM",0,92670872,8,0,0,8,266451,0,0,0,120291288,8,0,0,8,266450,0,0,0
2015-06-06,"S1F03YZM",0,68537720,8,0,0,8,266451,0,0,0,92670872,8,0,0,8,266451,0,0,0
2015-06-07,"S1F03YZM",0,192582336,8,0,0,8,266451,0,0,0,68537720,8,0,0,8,266451,0,0,0
2015-06-08,"S1F03YZM",0,150111672,8,0,0,8,266451,0,0,0,192582336,8,0,0,8,266451,0,0,0
2015-06-09,"S1F03YZM",0,70782400,8,0,0,8,266451,0,0,0,150111672,8,0,0,8,266451,0,0,0
2015-06-10,"S1F03YZM",0,114079456,8,0,0,8,266451,0,0,0,70782400,8,0,0,8,266451,0,0,0
2015-06-11,"S1F03YZM",0,102900352,8,0,0,8,266831,0,0,0,114079456,8,0,0,8,266451,0,0,0
2015-06-12,"S1F03YZM",0,114219992,8,0,0,8,268178,0,0,0,102900352,8,0,0,8,266831,0,0,0
2015-06-13,"S1F03YZM",0,9296024,16,0,0,8,268795,0,0,0,114219992,8,0,0,8,268178,0,0,0
2015-06-14,"S1F03YZM",0,12100120,16,0,0,8,268795,0,0,0,9296024,16,0,0,8,268795,0,0,0
2015-06-15,"S1F03YZM",0,183047464,16,0,0,8,268795,0,0,0,12100120,16,0,0,8,268795,0,0,0
2015-06-16,"S1F03YZM",0,80259328,16,0,0,8,268795,0,0,0,183047464,16,0,0,8,268795,0,0,0
2015-06-17,"S1F03YZM",0,34652304,16,0,0,8,268795,0,0,0,80259328,16,0,0,8,268795,0,0,0
2015-06-18,"S1F03YZM",0,198298312,16,0,0,8,268795,0,0,0,34652304,16,0,0,8,268795,0,0,0
2015-06-19,"S1F03YZM",0,66807968,16,0,0,8,268909,0,0,0,198298312,16,0,0,8,268795,0,0,0
2015-06-20,"S1F03YZM",0,55073536,16,0,0,8,268911,0,0,0,66807968,16,0,0,8,268909,0,0,0
2015-06-21,"S1F03YZM",0,80293072,16,0,0,8,268911,0,0,0,55073536,16,0,0,8,268911,0,0,0
2015-06-22,"S1F03YZM",0,30066888,16,0,0,8,268911,0,0,0,80293072,16,0,0,8,268911,0,0,0
2015-06-23,"S1F03YZM",0,191902216,16,0,0,8,268911,0,0,0,30066888,16,0,0,8,268911,0,0,0
2015-06-24,"S1F03YZM",0,199931112,16,0,0,8,268911,0,0,0,191902216,16,0,0,8,268911,0,0,0
2015-06-25,"S1F03YZM",0,133329784,16,0,0,8,268921,0,0,0,199931112,16,0,0,8,268911,0,0,0
2015-06-26,"S1F03YZM",0,112325096,16,0,0,8,268926,0,0,0,133329784,16,0,0,8,268921,0,0,0
2015-06-27,"S1F03YZM",0,67827672,16,0,0,8,268926,0,0,0,112325096,16,0,0,8,268926,0,0,0
2015-06-28,"S1F03YZM",0,106122872,16,0,0,8,268926,0,0,0,67827672,16,0,0,8,268926,0,0,0
2015-06-29,"S1F03YZM",0,30392296,16,0,0,8,268926,0,0,0,106122872,16,0,0,8,268926,0,0,0
2015-06-30,"S1F03YZM",0,200800168,16,0,0,8,268928,0,0,0,30392296,16,0,0,8,268926,0,0,0
2015-07-01,"S1F03YZM",0,218421368,16,0,0,8,268928,0,0,0,200800168,16,0,0,8,268928,0,0,0
2015-07-02,"S1F03YZM",0,177207488,16,0,0,8,268929,0,0,0,218421368,16,0,0,8,268928,0,0,0
2015-07-03,"S1F03YZM",0,209652592,16,0,0,8,268930,0,0,0,177207488,16,0,0,8,268929,0,0,0
2015-07-04,"S1F03YZM",0,99595736,16,0,0,8,268930,0,0,0,209652592,16,0,0,8,268930,0,0,0
2015-07-05,"S1F03YZM",0,217515344,16,0,0,8,268930,0,0,0,99595736,16,0,0,8,268930,0,0,0
2015-07-06,"S1F03YZM",0,215855224,24,0,0,8,268930,0,0,0,217515344,16,0,0,8,268930,0,0,0
2015-07-07,"S1F03YZM",0,18736216,48,0,0,8,268930,0,0,0,215855224,24,0,0,8,268930,0,0,0
2015-07-08,"S1F03YZM",0,16706888,48,0,0,8,268930,0,0,0,18736216,48,0,0,8,268930,0,0,0
2015-07-09,"S1F03YZM",0,5584080,48,0,0,8,268930,0,0,0,16706888,48,0,0,8,268930,0,0,0
2015-07-10,"S1F03YZM",0,83767384,48,0,0,8,268930,0,0,0,5584080,48,0,0,8,268930,0,0,0
2015-07-11,"S1F03YZM",0,168667432,48,0,0,8,268930,0,0,0,83767384,48,0,0,8,268930,0,0,0
2015-07-12,"S1F03YZM",0,1695096,56,0,0,8,268930,0,0,0,168667432,48,0,0,8,268930,0,0,0
2015-07-13,"S1F03YZM",0,128295088,64,0,0,8,269487,0,0,0,1695096,56,0,0,8,268930,0,0,0
2015-07-14,"S1F03YZM",0,150941080,64,0,0,8,270848,0,0,0,128295088,64,0,0,8,269487,0,0,0
2015-07-15,"S1F03YZM",0,169870240,64,0,0,8,272227,0,0,0,150941080,64,0,0,8,270848,0,0,0
2015-07-16,"S1F03YZM",0,189971512,64,0,0,8,273601,0,0,0,169870240,64,0,0,8,272227,0,0,0
2015-07-17,"S1F03YZM",0,211064392,64,0,0,8,274959,0,0,0,189971512,64,0,0,8,273601,0,0,0
2015-07-18,"S1F03YZM",0,227945192,64,0,0,8,276345,0,0,0,211064392,64,0,0,8,274959,0,0,0
2015-07-19,"S1F03YZM",0,4045304,144,0,0,8,277650,0,0,0,227945192,64,0,0,8,276345,0,0,0
2015-07-20,"S1F03YZM",0,23709144,144,0,0,8,279026,0,0,0,4045304,144,0,0,8,277650,0,0,0
2015-07-21,"S1F03YZM",0,40584848,152,0,0,8,280405,0,0,0,23709144,144,0,0,8,279026,0,0,0
2015-07-22,"S1F03YZM",0,59542056,200,0,0,8,281775,0,0,0,40584848,152,0,0,8,280405,0,0,0
2015-07-23,"S1F03YZM",0,116876672,224,0,0,8,282814,0,0,0,59542056,200,0,0,8,281775,0,0,0
2015-07-24,"S1F03YZM",0,155464760,224,0,0,8,283947,0,0,0,116876672,224,0,0,8,282814,0,0,0
2015-07-25,"S1F03YZM",0,203167896,224,0,0,8,284569,0,0,0,155464760,224,0,0,8,283947,0,0,0
2015-07-26,"S1F03YZM",0,146669440,224,0,0,8,284694,0,0,0,203167896,224,0,0,8,284569,0,0,0
2015-07-27,"S1F03YZM",0,170398984,232,0,0,8,285916,0,0,0,146669440,224,0,0,8,284694,0,0,0
2015-07-28,"S1F03YZM",0,196390320,232,0,0,8,287183,0,0,0,170398984,232,0,0,8,285916,0,0,0
2015-07-29,"S1F03YZM",0,224900856,232,0,0,8,288481,0,0,0,196390320,232,0,0,8,287183,0,0,0
2015-07-30,"S1F03YZM",0,3869656,232,0,0,8,289753,0,0,0,224900856,232,0,0,8,288481,0,0,0
2015-07-31,"S1F03YZM",0,29417000,240,0,0,8,291025,0,0,0,3869656,232,0,0,8,289753,0,0,0
